Druck,Wasser,Weite,Zeit,Datum
10   ,200   ,74   ,8.29 ,2019-04-12
11   ,600   ,131  ,4.42 ,2019-04-12
9    ,600   ,33   ,8.05 ,2019-04-12
9.5  ,500   ,126  ,6.05 ,2019-04-12
10.5 ,300   ,90   ,9.16 ,2019-04-12
8    ,400   ,94   ,8.04 ,2019-04-12
11   ,300   ,110  ,9.48 ,2019-04-12
11   ,450   ,45   ,9.50 ,2019-04-12
8.5  ,500   ,24   ,8.47 ,2019-04-12
